code,lat,lon,elev,state,name,x,y
USC00021050,35.1411,-114.569,161.8,AZ,BULLHEAD CITY,81,80
USC00021231,31.5589,-110.529,1527,AZ,CANELO 1 NW,113,51
USC00021248,36.1533,-109.539,1709.9,AZ,CANYON DE CHELLY,121,88
USC00021314,32.9947,-111.537,432.5,AZ,CASA GRANDE NM,105,62
USC00021330,32.3222,-110.415,973.5,AZ,CASCABEL,114,57
USC00021353,33.9825,-112.362,606.6,AZ,CASTLE HOT SPRINGS,99,70
USC00022109,34.305,-112.165,1149.4,AZ,CORDES,100,73
USC00022140,31.3456,-110.254,1597.8,AZ,CORONADO NM HQ,115,49
USC00022754,32.7481,-109.121,1115.6,AZ,DUNCAN,125,60
USC00023150,33.0094,-109.985,864.1,AZ,FT THOMAS 2 SW,118,63
USC00023160,35.2681,-111.743,2239.4,AZ,FT VALLEY,104,81
USC00023190,33.6028,-111.713,481.6,AZ,FOUNTAIN HILLS,104,67
USC00023393,32.9481,-112.713,224,AZ,GILA BEND,96,62
USC00023596,36.0528,-112.15,2068.1,AZ,GRAND CANYON NP 2,100,87
USC00024089,34.9094,-110.154,1549.9,AZ,HOLBROOK,116,78
USC00024453,34.7522,-112.111,1508.8,AZ,JEROME,101,77
